char_009_12fce	12F
char_4045_heidi	海蒂
char_4079_haini	海霓
char_4137_udflow	深巡
char_4109_baslin	深律
char_110_deepcl	深海色
char_469_indigo	深靛
char_385_finlpp	清流
char_149_scave	清道夫
char_4147_mitm	渡桥
char_4081_warmy	温米
char_400_weedy	温蒂
char_377_gdglow	澄闪（苏茜）
char_493_firwhl	火哨
char_163_hpsts	火神
char_367_swllow	灰喉
char_431_ashlok	灰毫
char_456_ash	灰烬
char_206_gnosis	灵知
char_131_flameb	炎客
char_121_lava	炎熔
char_194_leto	烈夏（罗莎琳）
char_420_flamtl	焰尾
char_017_huang	煌（顾烛煌）
char_363_toddi	熔泉
char_415_flint	燧石
char_338_iris	爱丽丝
char_4164_tecno	特克诺
char_411_tomimi	特米米
char_215_mantic	狮蝎
char_137_brownb	猎蜂
char_4064_mlynar	玛恩纳
char_4141_marcil	玛露西尔
char_208_melan	玫兰莎
char_4006_melnte	玫拉
char_479_sleach	琴柳
char_423_blemsh	瑕光
char_4163_rosesa	瑰盐
char_4195_radian	电弧（Radian）
char_204_platnm	白金
char_4072_ironmn	白铁
char_118_yuki	白雪
char_128_plosis	白面鸮
char_195_glassb	真理
char_4204_mantra	真言
char_4221_ju	矩
char_378_asbest	石棉
char_4063_quartz	石英
char_237_gravel	砾
char_4185_amoris	祐天寺若麦
char_336_folivo	稀音
char_101_sora	空
char_332_archet	空弦
char_4015_spuria	空构（斯普莉雅）
char_282_catap	空爆
char_122_beagle	米格鲁
char_436_whispr	絮雨
char_144_projektred	红
char_190_clour	红云
char_290_vigna	红豆
char_4023_rfalcn	红隼
char_478_kirara	绮良
char_1035_wisdel	维什戴尔
char_4226_veen	维伊
char_4107_vrdant	维荻
char_4056_titi	缇缇
char_289_gyuki	缠丸
char_249_mlyss	缪尔赛思
char_451_robin	罗宾
char_484_robrta	罗比菈塔
char_421_crow	羽毛笔（拉菲艾拉）
char_192_falco	翎羽
char_322_lmlee	老鲤
char_4013_kjera	耶拉
char_4187_graceb	聆音
char_103_angel	能天使（蕾缪乐）
char_4227_gallus	自称原鸡
char_4054_malist	至简
char_127_estell	艾丝黛尔
char_4009_irene	艾丽妮
char_4123_ela	艾拉
char_180_amgoat	艾雅法拉
char_106_franka	芙兰卡
char_120_hibisc	芙蓉
char_123_fang	芬
char_271_spikes	芳汀
char_261_sddrag	苇草（拉芙希尼）
char_4106_bryota	苍苔（埃尼斯）
char_298_susuro	苏苏洛
char_4183_mortis	若叶睦
char_405_absin	苦艾
char_4139_papyrs	莎草
char_213_mostma	莫斯提马
char_4117_ray	莱伊（莱叶菈）
char_373_lionhd	莱恩哈特
char_4142_laios	莱欧斯
char_300_phenxi	菲亚梅塔
char_4148_philae	菲莱
char_4191_tippi	蒂比
char_129_bluep	蓝毒
char_4193_lemuen	蕾缪安
char_388_mint	薄绿
char_4098_vvana	薇薇安娜
char_489_serum	蚀清
char_150_snakek	蛇屠箱
char_449_glider	蜜莓
char_344_beewax	蜜蜡
char_4172_xingzh	行箸
char_4140_lasher	衡沙
char_4155_talr	裁度（卢奇诺）
char_4225_tanya	裂响（瑭雅）
char_4041_chnut	褐果
char_4036_forcer	见行者（艾泽尔）
char_199_yak	角峰
char_510_amedic	触痕
char_198_blackd	讯使
char_308_swire	诗怀雅
char_4173_nowell	诺威尔
char_181_flower	调香师
char_4017_puzzle	谜图
char_452_bstalk	豆苗
char_369_bena	贝娜
char_4037_demetr	贝洛内
char_349_chiave	贾维
char_475_akafyu	赤冬
char_4088_hodrer	赫德雷
char_188_helage	赫拉格
char_108_silent	赫默
char_4100_caper	跃跃
char_4047_pianst	车尔尼
char_157_dagda	达格达
char_109_fmout	远山
char_430_fartth	远牙（查丝汀娜）
char_391_rosmon	迷迭香
char_279_excu	送葬人
char_4133_logos	逻各斯
char_4202_haruka	遥（紫野遥）
char_513_apionr	郁金香
char_366_acdrop	酸糖
char_2024_chyue	重岳
char_496_wildmn	野鬃
char_4171_wulfen	钼铅
char_358_lisa	铃兰（丽萨）
char_4062_totter	铅踝（托特尔）
char_4083_chimes	铎铃
char_172_svrash	银灰
char_333_sidero	铸铁
char_508_aguard	锋刃
char_4116_blkkgt	锏
char_4151_tinman	锡人
char_348_ceylon	锡兰
char_457_blitz	闪击
char_147_shining	闪灵
char_225_haak	阿
char_4178_alanna	阿兰娜
char_4132_ascln	阿斯卡纶
char_277_sqrrel	阿消
char_002_amiya	阿米娅
char_446_aroma	阿罗玛
char_010_chen	陈（陈晖洁）
char_219_meteo	陨星
char_4010_etlchi	隐德来希
char_498_inside	隐现（里凯莱）
char_4211_snhunt	雪猎
char_466_qanik	雪绒
char_383_snsant	雪雉
char_107_liskam	雷蛇
char_4027_heyak	霍尔海雅
char_458_rfrost	霜华
char_193_frostl	霜叶
char_4130_luton	露托
char_488_buildr	青枳（安麦尔）
char_265_sophia	鞭刃
char_4016_kazema	风丸
char_511_asnipe	风暴眼
char_222_bpipe	风笛
char_4222_taraxa	风絮
char_241_panda	食铁兽（万笙笙）
char_240_wyvern	香草
char_445_wscoot	骋风
char_4134_cetsyr	魔王
char_4055_bgsnow	鸿雪
char_248_mgllan	麦哲伦
char_2025_shu	黍
char_340_shwaz	黑
char_500_noirc	黑角
char_4046_ebnhlz	黑键
char_4144_chilc	齐尔查克
char_486_takila	龙舌兰（埃内斯托）
